name,ID,att,def,price,floor,rarity,abilities,swings,specialType,spellIndex,spellID,charges,guilds,levelScale,damageMod,alignmentFlags,nHands,type,resistanceFlags,StrReq,IntReq,WisReq,ConReq,ChaReq,DexReq,StrMod,IntMod,WisMod,ConMod,ChaMod,DexMod,cursed,spellLvl,classRestricted
Hands,0,0,0,0,0,0,0,2,0,0,0,0,4095,0,0.5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
Gnarled Hands,1,-3,-3,255671,1,25,0,1,0,0,0,0,8,0,1,1,2,0,0,10,0,0,0,0,6,0,0,0,0,0,0,1,0,-1
Initiate's Hands,2,3,0,2512764,1,50,0,2,0,0,0,0,8,3,1.2,10,2,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,-1
Magic Hands,3,6,0,12433122,4,40,0,3,0,0,0,0,8,8,1.3,10,2,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,-1
Master's Hand,4,9,0,23433232,6,25,0,3,0,0,0,0,8,15,1.4,10,2,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,-1
Hands of Death,5,12,0,45344232,9,15,16,4,0,0,0,0,8,25,1.5,10,2,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,-1
Hands of Slaying,6,15,0,75899432,12,10,16,5,0,0,0,0,8,35,1.6,10,2,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,-1
Hands of Destruction,7,21,0,158766432,15,1,16,6,0,0,0,0,8,45,1.8,10,2,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,-1
Bronze Dagger,31,3,0,250,0,65,0,1,0,0,0,0,4095,0,1,1,1,1,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0
Dagger of Stealth,356,6,3,6244356,0,0,0,2,0,0,0,0,4095,3,1.3,1,1,1,0,12,0,0,0,0,12,0,0,0,0,0,0,0,0,0
Bone Dagger,32,-3,-3,322132,1,25,0,1,0,0,0,0,4095,1,0.1,1,1,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,1,0,0
Iron Dagger,33,3,0,23377,1,50,0,1,0,0,0,0,4095,1,1.2,14,1,1,0,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0
Lethe Dagger,34,6,0,3265432,2,2,0,2,0,0,0,0,4095,6,1.3,14,1,1,0,13,0,0,0,0,14,0,0,0,0,0,0,0,0,0
Steel Dagger,35,6,0,1025674,3,40,0,2,0,0,0,0,4095,6,1.3,14,1,1,0,12,0,0,0,0,15,0,0,0,0,0,0,0,0,0
Adamantite Dagger,36,9,0,4556231,5,30,0,2,0,0,0,0,4095,12,1.4,14,1,1,0,12,0,0,0,0,14,0,0,0,0,0,0,0,0,0
Mithril Dagger,37,12,0,14566431,6,20,32,3,0,0,0,0,4095,23,1.5,14,1,1,0,14,0,0,0,0,16,0,0,0,0,0,0,0,0,0
Dagger of Jagoni,264,-1,-1,456445,6,15,0,1,0,0,0,0,4095,15,1.9,1,1,1,0,0,0,0,0,0,0,-1,-1,0,0,0,-3,1,0,0
Shadow's Blade,327,15,0,28143764,7,1,32,3,0,0,0,0,216,26,1.6,12,1,1,48,0,0,0,0,0,19,0,0,0,0,0,1,0,0,-1
Sabre Blade,38,15,3,46533420,10,15,32,4,0,0,0,0,4095,32,1.6,14,1,1,0,15,16,16,16,0,18,0,0,0,0,0,0,0,0,0
Vampire Fang,39,21,0,87655432,13,10,32,4,0,0,0,0,4095,35,1.7,14,1,1,0,18,16,16,0,0,20,0,0,0,0,0,0,0,0,0
Dagger of Swiftness,40,21,9,198655744,15,1,32,5,0,0,0,0,4095,60,1.8,14,1,1,0,18,16,16,0,0,20,0,0,0,0,0,0,0,0,0
Cross of Redemption,84,-6,-3,784532,1,10,0,1,0,0,0,0,4095,2,0.1,1,1,2,0,10,16,16,0,0,15,0,0,0,0,0,0,1,0,-1
Silver Cross,85,3,3,5516133,2,5,0,2,0,0,0,0,3840,2,1.5,14,1,2,0,12,14,14,12,0,12,0,0,0,0,0,0,0,0,-1
Cross of Life,86,3,3,13237651,6,3,0,1,0,59,49,2,4095,0,1,14,1,2,0,0,7,17,9,0,10,0,0,0,0,0,0,0,90,-1
Cross of Commanding,87,6,6,12386539,7,20,0,4,0,45,37,42,3840,10,1.7,14,1,2,0,10,16,16,16,15,15,0,0,0,1,0,0,0,105,-1
Cross of Requnix,88,12,15,287566432,15,1,16,4,0,0,0,0,3840,75,2,14,2,2,0,18,20,20,14,0,20,0,0,0,0,0,0,0,0,-1
Bronze Sword,8,3,0,350,0,51,0,1,0,0,0,0,191,0,1.1,1,1,3,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,-1
Sword of the Winds,357,12,6,18566343,0,0,0,3,0,0,0,0,191,15,1.6,1,1,3,0,16,0,0,0,0,16,1,0,0,0,0,0,0,0,-1
Iron Sword,9,3,0,56598,1,50,0,1,0,0,0,0,191,2,1.3,14,1,3,0,10,0,0,0,0,10,0,0,0,0,0,0,0,0,-1
Backlash Sword,10,-3,0,544351,1,15,0,1,0,0,0,0,191,1,0.1,1,2,3,0,10,0,0,0,0,10,0,0,0,0,0,0,1,0,-1
Thief Sword,11,6,0,7232593,2,2,32,2,0,0,0,0,217,5,1.5,14,1,3,0,12,0,0,0,0,18,0,0,0,0,0,1,0,0,-1
Katana,12,6,0,8322132,2,2,16,2,0,0,0,0,8,5,1.6,10,2,3,0,13,0,14,0,0,18,0,0,0,0,0,1,0,0,-1
Cutlass,261,6,0,195677,2,45,0,1,0,0,0,0,255,5,1.3,1,1,3,0,11,0,0,0,0,12,0,0,0,0,0,0,0,0,-1
Wicked Blade,260,6,3,2766536,3,15,0,2,0,0,0,0,216,7,1.5,8,1,3,0,12,0,0,0,0,14,0,0,0,0,0,0,0,0,-1
Crystal Sword,13,6,6,3541231,4,3,0,2,0,0,0,0,191,9,1.5,14,1,3,0,14,0,0,0,0,14,0,0,0,0,0,0,0,0,-1
Steel Sword,14,6,0,1366742,4,25,0,2,0,0,0,0,191,8,1.4,14,1,3,0,12,0,0,0,0,12,0,0,0,0,0,0,0,0,-1
Dominator,15,6,6,9845672,4,1,16,2,0,0,0,0,191,15,2,14,2,3,0,16,12,12,14,0,16,0,0,0,0,0,0,0,0,-1
Adamantite Sword,16,9,3,5798677,5,30,0,2,0,0,0,0,191,15,1.5,14,1,3,0,14,0,0,0,0,14,0,0,0,0,0,0,0,0,-1
Burgens Blade,262,-9,-9,589766,5,10,0,1,0,0,0,0,255,10,1.6,1,1,3,0,0,0,0,0,0,0,-2,0,0,0,0,-2,1,0,-1
Mithril Sword,17,12,3,18965342,7,15,16,3,0,0,0,0,191,25,1.6,14,1,3,0,18,0,0,16,0,18,0,0,0,0,0,0,0,0,-1
Avenger,18,15,3,32678540,7,1,16,3,0,0,0,0,63,30,2.3,14,2,3,0,18,16,16,18,0,18,0,0,0,0,0,0,0,0,-1
Holy Sword,335,15,9,51356843,9,3,20,3,0,14,12,25,4,35,1.6,2,1,3,768,21,15,20,16,22,16,0,0,1,0,1,0,0,-1,-1
Sword of Slaying,19,15,6,45321784,11,15,16,3,0,0,0,0,191,40,1.7,14,1,3,0,18,14,14,18,0,18,0,0,0,0,0,0,0,0,-1
Vorpal Blade,284,18,12,85677546,13,2,0,7,0,0,0,0,255,50,1.5,14,1,3,0,16,16,16,0,0,21,0,0,0,0,0,1,0,0,-1
Lightning Blade,20,24,6,166745328,15,3,0,4,0,78,65,35,55,60,1.8,14,1,3,0,20,18,18,20,0,20,0,0,0,0,0,0,0,225,-1
